layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,pain_rhymes_all,positive,neg_prompt_v1,0.0
0,pain_rhymes_all,negative,neg_prompt_v1,0.0
0,quick_rhymes_all,positive,neg_prompt_v1,0.986
0,quick_rhymes_all,negative,neg_prompt_v1,0.974
0,trick,positive,neg_prompt_v1,0.506
0,trick,negative,neg_prompt_v1,0.542
0,rain,positive,neg_prompt_v1,0.0
0,rain,negative,neg_prompt_v1,0.0
0,quick,positive,neg_prompt_v1,0.246
0,quick,negative,neg_prompt_v1,0.216
0,pain,positive,neg_prompt_v1,0.0
0,pain,negative,neg_prompt_v1,0.0
1,pain_rhymes_all,positive,neg_prompt_v1,0.0
1,pain_rhymes_all,negative,neg_prompt_v1,0.0
1,quick_rhymes_all,positive,neg_prompt_v1,0.986
1,quick_rhymes_all,negative,neg_prompt_v1,0.984
1,trick,positive,neg_prompt_v1,0.562
1,trick,negative,neg_prompt_v1,0.56
1,rain,positive,neg_prompt_v1,0.0
1,rain,negative,neg_prompt_v1,0.0
1,quick,positive,neg_prompt_v1,0.22
1,quick,negative,neg_prompt_v1,0.2
1,pain,positive,neg_prompt_v1,0.0
1,pain,negative,neg_prompt_v1,0.0
2,pain_rhymes_all,positive,neg_prompt_v1,0.0
2,pain_rhymes_all,negative,neg_prompt_v1,0.0
2,quick_rhymes_all,positive,neg_prompt_v1,0.978
2,quick_rhymes_all,negative,neg_prompt_v1,0.976
2,trick,positive,neg_prompt_v1,0.49
2,trick,negative,neg_prompt_v1,0.558
2,rain,positive,neg_prompt_v1,0.0
2,rain,negative,neg_prompt_v1,0.0
2,quick,positive,neg_prompt_v1,0.256
2,quick,negative,neg_prompt_v1,0.216
2,pain,positive,neg_prompt_v1,0.0
2,pain,negative,neg_prompt_v1,0.0
3,pain_rhymes_all,positive,neg_prompt_v1,0.0
3,pain_rhymes_all,negative,neg_prompt_v1,0.0
3,quick_rhymes_all,positive,neg_prompt_v1,0.974
3,quick_rhymes_all,negative,neg_prompt_v1,0.982
3,trick,positive,neg_prompt_v1,0.514
3,trick,negative,neg_prompt_v1,0.438
3,rain,positive,neg_prompt_v1,0.0
3,rain,negative,neg_prompt_v1,0.0
3,quick,positive,neg_prompt_v1,0.222
3,quick,negative,neg_prompt_v1,0.286
