layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,rabbit,positive,neg_prompt_v1,0.32
0,rabbit,negative,neg_prompt_v1,0.272
0,habit,positive,neg_prompt_v1,0.254
0,habit,negative,neg_prompt_v1,0.21
1,rabbit,positive,neg_prompt_v1,0.314
1,rabbit,negative,neg_prompt_v1,0.254
1,habit,positive,neg_prompt_v1,0.214
1,habit,negative,neg_prompt_v1,0.266
2,rabbit,positive,neg_prompt_v1,0.282
2,rabbit,negative,neg_prompt_v1,0.298
2,habit,positive,neg_prompt_v1,0.224
2,habit,negative,neg_prompt_v1,0.22
3,rabbit,positive,neg_prompt_v1,0.272
3,rabbit,negative,neg_prompt_v1,0.306
3,habit,positive,neg_prompt_v1,0.238
3,habit,negative,neg_prompt_v1,0.214
4,rabbit,positive,neg_prompt_v1,0.302
4,rabbit,negative,neg_prompt_v1,0.274
4,habit,positive,neg_prompt_v1,0.236
4,habit,negative,neg_prompt_v1,0.236
5,rabbit,positive,neg_prompt_v1,0.268
5,rabbit,negative,neg_prompt_v1,0.286
5,habit,positive,neg_prompt_v1,0.294
5,habit,negative,neg_prompt_v1,0.242
6,rabbit,positive,neg_prompt_v1,0.288
6,rabbit,negative,neg_prompt_v1,0.33
6,habit,positive,neg_prompt_v1,0.262
6,habit,negative,neg_prompt_v1,0.226
7,rabbit,positive,neg_prompt_v1,0.3
7,rabbit,negative,neg_prompt_v1,0.252
7,habit,positive,neg_prompt_v1,0.226
7,habit,negative,neg_prompt_v1,0.268
8,rabbit,positive,neg_prompt_v1,0.328
8,rabbit,negative,neg_prompt_v1,0.264
8,habit,positive,neg_prompt_v1,0.286
8,habit,negative,neg_prompt_v1,0.22
9,rabbit,positive,neg_prompt_v1,0.288
9,rabbit,negative,neg_prompt_v1,0.214
9,habit,positive,neg_prompt_v1,0.336
9,habit,negative,neg_prompt_v1,0.188
10,rabbit,positive,neg_prompt_v1,0.314
10,rabbit,negative,neg_prompt_v1,0.26
10,habit,positive,neg_prompt_v1,0.34
10,habit,negative,neg_prompt_v1,0.212
11,rabbit,positive,neg_prompt_v1,0.304
11,rabbit,negative,neg_prompt_v1,0.238
11,habit,positive,neg_prompt_v1,0.29
11,habit,negative,neg_prompt_v1,0.098
12,rabbit,positive,neg_prompt_v1,0.224
12,rabbit,negative,neg_prompt_v1,0.256
12,habit,positive,neg_prompt_v1,0.33
12,habit,negative,neg_prompt_v1,0.126
13,rabbit,positive,neg_prompt_v1,0.23
13,rabbit,negative,neg_prompt_v1,0.28
13,habit,positive,neg_prompt_v1,0.328
13,habit,negative,neg_prompt_v1,0.108
14,rabbit,positive,neg_prompt_v1,0.2
14,rabbit,negative,neg_prompt_v1,0.224
14,habit,positive,neg_prompt_v1,0.268
14,habit,negative,neg_prompt_v1,0.124
15,rabbit,positive,neg_prompt_v1,0.2
15,rabbit,negative,neg_prompt_v1,0.32
15,habit,positive,neg_prompt_v1,0.28
15,habit,negative,neg_prompt_v1,0.092
16,rabbit,positive,neg_prompt_v1,0.176
16,rabbit,negative,neg_prompt_v1,0.248
16,habit,positive,neg_prompt_v1,0.234
16,habit,negative,neg_prompt_v1,0.068
17,rabbit,positive,neg_prompt_v1,0.182
17,rabbit,negative,neg_prompt_v1,0.31
17,habit,positive,neg_prompt_v1,0.178
17,habit,negative,neg_prompt_v1,0.076
18,rabbit,positive,neg_prompt_v1,0.192
18,rabbit,negative,neg_prompt_v1,0.286
18,habit,positive,neg_prompt_v1,0.222
18,habit,negative,neg_prompt_v1,0.078
19,rabbit,positive,neg_prompt_v1,0.176
19,rabbit,negative,neg_prompt_v1,0.316
19,habit,positive,neg_prompt_v1,0.256
19,habit,negative,neg_prompt_v1,0.084
20,rabbit,positive,neg_prompt_v1,0.106
20,rabbit,negative,neg_prompt_v1,0.332
20,habit,positive,neg_prompt_v1,0.306
20,habit,negative,neg_prompt_v1,0.05
21,rabbit,positive,neg_prompt_v1,0.052
21,rabbit,negative,neg_prompt_v1,0.434
21,habit,positive,neg_prompt_v1,0.4
21,habit,negative,neg_prompt_v1,0.054
22,rabbit,positive,neg_prompt_v1,0.098
22,rabbit,negative,neg_prompt_v1,0.43
22,habit,positive,neg_prompt_v1,0.362
22,habit,negative,neg_prompt_v1,0.058
23,rabbit,positive,neg_prompt_v1,0.078
23,rabbit,negative,neg_prompt_v1,0.488
23,habit,positive,neg_prompt_v1,0.498
23,habit,negative,neg_prompt_v1,0.03
24,rabbit,positive,neg_prompt_v1,0.032
24,rabbit,negative,neg_prompt_v1,0.53
24,habit,positive,neg_prompt_v1,0.552
24,habit,negative,neg_prompt_v1,0.006
25,rabbit,positive,neg_prompt_v1,0.014
25,rabbit,negative,neg_prompt_v1,0.582
25,habit,positive,neg_prompt_v1,0.494
25,habit,negative,neg_prompt_v1,0.004
26,rabbit,positive,neg_prompt_v1,0.026
26,rabbit,negative,neg_prompt_v1,0.78
26,habit,positive,neg_prompt_v1,0.484
26,habit,negative,neg_prompt_v1,0.0
27,rabbit,positive,neg_prompt_v1,0.016
27,rabbit,negative,neg_prompt_v1,0.796
27,habit,positive,neg_prompt_v1,0.518
27,habit,negative,neg_prompt_v1,0.002
28,rabbit,positive,neg_prompt_v1,0.018
28,rabbit,negative,neg_prompt_v1,0.74
28,habit,positive,neg_prompt_v1,0.572
