layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,all_quick_rhymes,positive,neg_prompt_v1,0.156
0,all_quick_rhymes,negative,neg_prompt_v1,0.248
1,all_quick_rhymes,positive,neg_prompt_v1,0.162
1,all_quick_rhymes,negative,neg_prompt_v1,0.262
2,all_quick_rhymes,positive,neg_prompt_v1,0.18
2,all_quick_rhymes,negative,neg_prompt_v1,0.254
3,all_quick_rhymes,positive,neg_prompt_v1,0.092
3,all_quick_rhymes,negative,neg_prompt_v1,0.38
4,all_quick_rhymes,positive,neg_prompt_v1,0.03
4,all_quick_rhymes,negative,neg_prompt_v1,0.392
5,all_quick_rhymes,positive,neg_prompt_v1,0.014
5,all_quick_rhymes,negative,neg_prompt_v1,0.514
6,all_quick_rhymes,positive,neg_prompt_v1,0.018
6,all_quick_rhymes,negative,neg_prompt_v1,0.452
7,all_quick_rhymes,positive,neg_prompt_v1,0.012
7,all_quick_rhymes,negative,neg_prompt_v1,0.496
8,all_quick_rhymes,positive,neg_prompt_v1,0.004
8,all_quick_rhymes,negative,neg_prompt_v1,0.516
9,all_quick_rhymes,positive,neg_prompt_v1,0.0
9,all_quick_rhymes,negative,neg_prompt_v1,0.622
10,all_quick_rhymes,positive,neg_prompt_v1,0.002
10,all_quick_rhymes,negative,neg_prompt_v1,0.768
11,all_quick_rhymes,positive,neg_prompt_v1,0.0
11,all_quick_rhymes,negative,neg_prompt_v1,0.756
12,all_quick_rhymes,positive,neg_prompt_v1,0.002
12,all_quick_rhymes,negative,neg_prompt_v1,0.762
13,all_quick_rhymes,positive,neg_prompt_v1,0.0
13,all_quick_rhymes,negative,neg_prompt_v1,0.794
14,all_quick_rhymes,positive,neg_prompt_v1,0.002
14,all_quick_rhymes,negative,neg_prompt_v1,0.798
15,all_quick_rhymes,positive,neg_prompt_v1,0.004
15,all_quick_rhymes,negative,neg_prompt_v1,0.814
16,all_quick_rhymes,positive,neg_prompt_v1,0.0
16,all_quick_rhymes,negative,neg_prompt_v1,0.81
17,all_quick_rhymes,positive,neg_prompt_v1,0.0
17,all_quick_rhymes,negative,neg_prompt_v1,0.894
18,all_quick_rhymes,positive,neg_prompt_v1,0.002
18,all_quick_rhymes,negative,neg_prompt_v1,0.848
19,all_quick_rhymes,positive,neg_prompt_v1,0.0
19,all_quick_rhymes,negative,neg_prompt_v1,0.852
20,all_quick_rhymes,positive,neg_prompt_v1,0.002
20,all_quick_rhymes,negative,neg_prompt_v1,0.882
21,all_quick_rhymes,positive,neg_prompt_v1,0.006
21,all_quick_rhymes,negative,neg_prompt_v1,0.876
22,all_quick_rhymes,positive,neg_prompt_v1,0.0
22,all_quick_rhymes,negative,neg_prompt_v1,0.916
23,all_quick_rhymes,positive,neg_prompt_v1,0.006
23,all_quick_rhymes,negative,neg_prompt_v1,0.898
24,all_quick_rhymes,positive,neg_prompt_v1,0.002
24,all_quick_rhymes,negative,neg_prompt_v1,0.94
25,all_quick_rhymes,positive,neg_prompt_v1,0.01
25,all_quick_rhymes,negative,neg_prompt_v1,0.868
26,all_quick_rhymes,positive,neg_prompt_v1,0.002
26,all_quick_rhymes,negative,neg_prompt_v1,0.868
27,all_quick_rhymes,positive,neg_prompt_v1,0.0
27,all_quick_rhymes,negative,neg_prompt_v1,0.79
28,all_quick_rhymes,positive,neg_prompt_v1,0.012
28,all_quick_rhymes,negative,neg_prompt_v1,0.704
29,all_quick_rhymes,positive,neg_prompt_v1,0.01
29,all_quick_rhymes,negative,neg_prompt_v1,0.476
30,all_quick_rhymes,positive,neg_prompt_v1,0.042
30,all_quick_rhymes,negative,neg_prompt_v1,0.364
31,all_quick_rhymes,positive,neg_prompt_v1,0.168
31,all_quick_rhymes,negative,neg_prompt_v1,0.494
32,all_quick_rhymes,positive,neg_prompt_v1,0.256
32,all_quick_rhymes,negative,neg_prompt_v1,0.434
33,all_quick_rhymes,positive,neg_prompt_v1,0.276
33,all_quick_rhymes,negative,neg_prompt_v1,0.408
34,all_quick_rhymes,positive,neg_prompt_v1,0.294
34,all_quick_rhymes,negative,neg_prompt_v1,0.432
35,all_quick_rhymes,positive,neg_prompt_v1,0.214
35,all_quick_rhymes,negative,neg_prompt_v1,0.426
36,all_quick_rhymes,positive,neg_prompt_v1,0.274
36,all_quick_rhymes,negative,neg_prompt_v1,0.408
37,all_quick_rhymes,positive,neg_prompt_v1,0.286
37,all_quick_rhymes,negative,neg_prompt_v1,0.408
38,all_quick_rhymes,positive,neg_prompt_v1,0.22
38,all_quick_rhymes,negative,neg_prompt_v1,0.28
39,all_quick_rhymes,positive,neg_prompt_v1,0.17
39,all_quick_rhymes,negative,neg_prompt_v1,0.38
40,all_quick_rhymes,positive,neg_prompt_v1,0.204
40,all_quick_rhymes,negative,neg_prompt_v1,0.548
41,all_quick_rhymes,positive,neg_prompt_v1,0.19
41,all_quick_rhymes,negative,neg_prompt_v1,0.328
