layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,rabbit,positive,neg_prompt_v1,0.096
0,rabbit,negative,neg_prompt_v1,0.092
0,habit,positive,neg_prompt_v1,0.416
0,habit,negative,neg_prompt_v1,0.456
1,rabbit,positive,neg_prompt_v1,0.106
1,rabbit,negative,neg_prompt_v1,0.08
1,habit,positive,neg_prompt_v1,0.418
1,habit,negative,neg_prompt_v1,0.384
2,rabbit,positive,neg_prompt_v1,0.112
2,rabbit,negative,neg_prompt_v1,0.096
2,habit,positive,neg_prompt_v1,0.38
2,habit,negative,neg_prompt_v1,0.366
3,rabbit,positive,neg_prompt_v1,0.114
3,rabbit,negative,neg_prompt_v1,0.1
3,habit,positive,neg_prompt_v1,0.464
3,habit,negative,neg_prompt_v1,0.362
4,rabbit,positive,neg_prompt_v1,0.112
4,rabbit,negative,neg_prompt_v1,0.114
4,habit,positive,neg_prompt_v1,0.42
4,habit,negative,neg_prompt_v1,0.414
5,rabbit,positive,neg_prompt_v1,0.11
5,rabbit,negative,neg_prompt_v1,0.086
5,habit,positive,neg_prompt_v1,0.426
5,habit,negative,neg_prompt_v1,0.462
6,rabbit,positive,neg_prompt_v1,0.128
6,rabbit,negative,neg_prompt_v1,0.072
6,habit,positive,neg_prompt_v1,0.402
6,habit,negative,neg_prompt_v1,0.464
7,rabbit,positive,neg_prompt_v1,0.122
7,rabbit,negative,neg_prompt_v1,0.11
7,habit,positive,neg_prompt_v1,0.374
7,habit,negative,neg_prompt_v1,0.466
8,rabbit,positive,neg_prompt_v1,0.12
8,rabbit,negative,neg_prompt_v1,0.08
8,habit,positive,neg_prompt_v1,0.396
8,habit,negative,neg_prompt_v1,0.446
9,rabbit,positive,neg_prompt_v1,0.154
9,rabbit,negative,neg_prompt_v1,0.074
9,habit,positive,neg_prompt_v1,0.376
9,habit,negative,neg_prompt_v1,0.424
10,rabbit,positive,neg_prompt_v1,0.146
10,rabbit,negative,neg_prompt_v1,0.116
10,habit,positive,neg_prompt_v1,0.378
10,habit,negative,neg_prompt_v1,0.388
11,rabbit,positive,neg_prompt_v1,0.14
11,rabbit,negative,neg_prompt_v1,0.134
11,habit,positive,neg_prompt_v1,0.39
11,habit,negative,neg_prompt_v1,0.412
12,rabbit,positive,neg_prompt_v1,0.076
12,rabbit,negative,neg_prompt_v1,0.11
12,habit,positive,neg_prompt_v1,0.424
12,habit,negative,neg_prompt_v1,0.444
13,rabbit,positive,neg_prompt_v1,0.108
13,rabbit,negative,neg_prompt_v1,0.138
13,habit,positive,neg_prompt_v1,0.422
13,habit,negative,neg_prompt_v1,0.434
14,rabbit,positive,neg_prompt_v1,0.122
14,rabbit,negative,neg_prompt_v1,0.128
14,habit,positive,neg_prompt_v1,0.368
14,habit,negative,neg_prompt_v1,0.448
15,rabbit,positive,neg_prompt_v1,0.078
15,rabbit,negative,neg_prompt_v1,0.124
15,habit,positive,neg_prompt_v1,0.362
15,habit,negative,neg_prompt_v1,0.434
16,rabbit,positive,neg_prompt_v1,0.092
16,rabbit,negative,neg_prompt_v1,0.148
16,habit,positive,neg_prompt_v1,0.362
16,habit,negative,neg_prompt_v1,0.432
17,rabbit,positive,neg_prompt_v1,0.09
17,rabbit,negative,neg_prompt_v1,0.16
17,habit,positive,neg_prompt_v1,0.35
17,habit,negative,neg_prompt_v1,0.364
18,rabbit,positive,neg_prompt_v1,0.102
18,rabbit,negative,neg_prompt_v1,0.108
18,habit,positive,neg_prompt_v1,0.326
18,habit,negative,neg_prompt_v1,0.466
19,rabbit,positive,neg_prompt_v1,0.08
19,rabbit,negative,neg_prompt_v1,0.142
19,habit,positive,neg_prompt_v1,0.338
19,habit,negative,neg_prompt_v1,0.468
20,rabbit,positive,neg_prompt_v1,0.114
20,rabbit,negative,neg_prompt_v1,0.204
20,habit,positive,neg_prompt_v1,0.3
20,habit,negative,neg_prompt_v1,0.41
21,rabbit,positive,neg_prompt_v1,0.072
21,rabbit,negative,neg_prompt_v1,0.166
21,habit,positive,neg_prompt_v1,0.228
21,habit,negative,neg_prompt_v1,0.456
22,rabbit,positive,neg_prompt_v1,0.062
22,rabbit,negative,neg_prompt_v1,0.262
22,habit,positive,neg_prompt_v1,0.2
22,habit,negative,neg_prompt_v1,0.52
23,rabbit,positive,neg_prompt_v1,0.112
23,rabbit,negative,neg_prompt_v1,0.218
23,habit,positive,neg_prompt_v1,0.126
23,habit,negative,neg_prompt_v1,0.512
24,rabbit,positive,neg_prompt_v1,0.118
24,rabbit,negative,neg_prompt_v1,0.23
24,habit,positive,neg_prompt_v1,0.234
24,habit,negative,neg_prompt_v1,0.466
25,rabbit,positive,neg_prompt_v1,0.152
25,rabbit,negative,neg_prompt_v1,0.138
25,habit,positive,neg_prompt_v1,0.12
25,habit,negative,neg_prompt_v1,0.492
26,rabbit,positive,neg_prompt_v1,0.244
26,rabbit,negative,neg_prompt_v1,0.116
26,habit,positive,neg_prompt_v1,0.12
26,habit,negative,neg_prompt_v1,0.496
27,rabbit,positive,neg_prompt_v1,0.182
27,rabbit,negative,neg_prompt_v1,0.088
27,habit,positive,neg_prompt_v1,0.046
27,habit,negative,neg_prompt_v1,0.432
28,rabbit,positive,neg_prompt_v1,0.176
28,rabbit,negative,neg_prompt_v1,0.074
28,habit,positive,neg_prompt_v1,0.032
28,habit,negative,neg_prompt_v1,0.384
29,rabbit,positive,neg_prompt_v1,0.192
29,rabbit,negative,neg_prompt_v1,0.03
29,habit,positive,neg_prompt_v1,0.098
29,habit,negative,neg_prompt_v1,0.454
30,rabbit,positive,neg_prompt_v1,0.176
30,rabbit,negative,neg_prompt_v1,0.006
30,habit,positive,neg_prompt_v1,0.144
30,habit,negative,neg_prompt_v1,0.392
31,rabbit,positive,neg_prompt_v1,0.15
31,rabbit,negative,neg_prompt_v1,0.004
31,habit,positive,neg_prompt_v1,0.198
31,habit,negative,neg_prompt_v1,0.41
32,rabbit,positive,neg_prompt_v1,0.072
32,rabbit,negative,neg_prompt_v1,0.002
32,habit,positive,neg_prompt_v1,0.274
32,habit,negative,neg_prompt_v1,0.436
33,rabbit,positive,neg_prompt_v1,0.092
33,rabbit,negative,neg_prompt_v1,0.01
33,habit,positive,neg_prompt_v1,0.204
33,habit,negative,neg_prompt_v1,0.476
34,rabbit,positive,neg_prompt_v1,0.088
34,rabbit,negative,neg_prompt_v1,0.008
34,habit,positive,neg_prompt_v1,0.23
34,habit,negative,neg_prompt_v1,0.566
35,rabbit,positive,neg_prompt_v1,0.09
35,rabbit,negative,neg_prompt_v1,0.004
35,habit,positive,neg_prompt_v1,0.152
35,habit,negative,neg_prompt_v1,0.57
36,rabbit,positive,neg_prompt_v1,0.086
36,rabbit,negative,neg_prompt_v1,0.018
36,habit,positive,neg_prompt_v1,0.22
36,habit,negative,neg_prompt_v1,0.706
37,rabbit,positive,neg_prompt_v1,0.146
37,rabbit,negative,neg_prompt_v1,0.026
37,habit,positive,neg_prompt_v1,0.21
37,habit,negative,neg_prompt_v1,0.644
38,rabbit,positive,neg_prompt_v1,0.118
38,rabbit,negative,neg_prompt_v1,0.032
38,habit,positive,neg_prompt_v1,0.222
38,habit,negative,neg_prompt_v1,0.678
39,rabbit,positive,neg_prompt_v1,0.136
39,rabbit,negative,neg_prompt_v1,0.04
39,habit,positive,neg_prompt_v1,0.342
39,habit,negative,neg_prompt_v1,0.652
40,rabbit,positive,neg_prompt_v1,0.154
40,rabbit,negative,neg_prompt_v1,0.044
40,habit,positive,neg_prompt_v1,0.34
40,habit,negative,neg_prompt_v1,0.592
41,rabbit,positive,neg_prompt_v1,0.314
41,rabbit,negative,neg_prompt_v1,0.042
41,habit,positive,neg_prompt_v1,0.218
41,habit,negative,neg_prompt_v1,0.612
42,rabbit,positive,neg_prompt_v1,0.38
42,rabbit,negative,neg_prompt_v1,0.012
42,habit,positive,neg_prompt_v1,0.172
42,habit,negative,neg_prompt_v1,0.708
43,rabbit,positive,neg_prompt_v1,0.712
43,rabbit,negative,neg_prompt_v1,0.016
43,habit,positive,neg_prompt_v1,0.092
43,habit,negative,neg_prompt_v1,0.67
44,rabbit,positive,neg_prompt_v1,0.822
44,rabbit,negative,neg_prompt_v1,0.002
44,habit,positive,neg_prompt_v1,0.028
44,habit,negative,neg_prompt_v1,0.788
45,rabbit,positive,neg_prompt_v1,0.754
45,rabbit,negative,neg_prompt_v1,0.014
45,habit,positive,neg_prompt_v1,0.09
45,habit,negative,neg_prompt_v1,0.71
