layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,pain_rhymes_all,positive,neg_prompt_v1,0.0
0,pain_rhymes_all,negative,neg_prompt_v1,0.0
0,quick_rhymes_all,positive,neg_prompt_v1,0.992
0,quick_rhymes_all,negative,neg_prompt_v1,0.998
0,pain_rhymes1,positive,neg_prompt_v1,0.0
0,pain_rhymes1,negative,neg_prompt_v1,0.0
0,pain_rhymes2,positive,neg_prompt_v1,0.0
0,pain_rhymes2,negative,neg_prompt_v1,0.0
0,quick,positive,neg_prompt_v1,0.388
0,quick,negative,neg_prompt_v1,0.402
0,pain,positive,neg_prompt_v1,0.0
0,pain,negative,neg_prompt_v1,0.0
1,pain_rhymes_all,positive,neg_prompt_v1,0.0
1,pain_rhymes_all,negative,neg_prompt_v1,0.0
1,quick_rhymes_all,positive,neg_prompt_v1,0.994
1,quick_rhymes_all,negative,neg_prompt_v1,0.988
1,pain_rhymes1,positive,neg_prompt_v1,0.0
1,pain_rhymes1,negative,neg_prompt_v1,0.0
1,pain_rhymes2,positive,neg_prompt_v1,0.0
1,pain_rhymes2,negative,neg_prompt_v1,0.0
1,quick,positive,neg_prompt_v1,0.358
1,quick,negative,neg_prompt_v1,0.396
1,pain,positive,neg_prompt_v1,0.0
1,pain,negative,neg_prompt_v1,0.0
2,pain_rhymes_all,positive,neg_prompt_v1,0.0
2,pain_rhymes_all,negative,neg_prompt_v1,0.0
2,quick_rhymes_all,positive,neg_prompt_v1,0.994
2,quick_rhymes_all,negative,neg_prompt_v1,0.994
2,pain_rhymes1,positive,neg_prompt_v1,0.0
2,pain_rhymes1,negative,neg_prompt_v1,0.0
2,pain_rhymes2,positive,neg_prompt_v1,0.0
2,pain_rhymes2,negative,neg_prompt_v1,0.0
2,quick,positive,neg_prompt_v1,0.368
2,quick,negative,neg_prompt_v1,0.376
2,pain,positive,neg_prompt_v1,0.0
2,pain,negative,neg_prompt_v1,0.0
3,pain_rhymes_all,positive,neg_prompt_v1,0.0
3,pain_rhymes_all,negative,neg_prompt_v1,0.0
3,quick_rhymes_all,positive,neg_prompt_v1,0.994
3,quick_rhymes_all,negative,neg_prompt_v1,0.994
3,pain_rhymes1,positive,neg_prompt_v1,0.0
3,pain_rhymes1,negative,neg_prompt_v1,0.0
