layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,pain_rhymes_all,positive,neg_prompt_v1,0.0
0,pain_rhymes_all,negative,neg_prompt_v1,0.0
0,quick_rhymes_all,positive,neg_prompt_v1,0.996
0,quick_rhymes_all,negative,neg_prompt_v1,0.994
0,trick,positive,neg_prompt_v1,0.436
0,trick,negative,neg_prompt_v1,0.484
0,rain,positive,neg_prompt_v1,0.0
0,rain,negative,neg_prompt_v1,0.0
0,quick,positive,neg_prompt_v1,0.408
0,quick,negative,neg_prompt_v1,0.362
0,pain,positive,neg_prompt_v1,0.0
0,pain,negative,neg_prompt_v1,0.0
1,pain_rhymes_all,positive,neg_prompt_v1,0.0
1,pain_rhymes_all,negative,neg_prompt_v1,0.0
1,quick_rhymes_all,positive,neg_prompt_v1,0.996
1,quick_rhymes_all,negative,neg_prompt_v1,1.0
1,trick,positive,neg_prompt_v1,0.498
1,trick,negative,neg_prompt_v1,0.41
1,rain,positive,neg_prompt_v1,0.0
1,rain,negative,neg_prompt_v1,0.0
1,quick,positive,neg_prompt_v1,0.358
1,quick,negative,neg_prompt_v1,0.412
1,pain,positive,neg_prompt_v1,0.0
1,pain,negative,neg_prompt_v1,0.0
2,pain_rhymes_all,positive,neg_prompt_v1,0.0
2,pain_rhymes_all,negative,neg_prompt_v1,0.0
2,quick_rhymes_all,positive,neg_prompt_v1,0.998
2,quick_rhymes_all,negative,neg_prompt_v1,0.996
2,trick,positive,neg_prompt_v1,0.406
2,trick,negative,neg_prompt_v1,0.466
2,rain,positive,neg_prompt_v1,0.0
2,rain,negative,neg_prompt_v1,0.0
2,quick,positive,neg_prompt_v1,0.4
2,quick,negative,neg_prompt_v1,0.362
2,pain,positive,neg_prompt_v1,0.0
2,pain,negative,neg_prompt_v1,0.0
3,pain_rhymes_all,positive,neg_prompt_v1,0.0
3,pain_rhymes_all,negative,neg_prompt_v1,0.0
3,quick_rhymes_all,positive,neg_prompt_v1,0.988
3,quick_rhymes_all,negative,neg_prompt_v1,0.982
3,trick,positive,neg_prompt_v1,0.444
3,trick,negative,neg_prompt_v1,0.444
3,rain,positive,neg_prompt_v1,0.0
3,rain,negative,neg_prompt_v1,0.0
3,quick,positive,neg_prompt_v1,0.38
3,quick,negative,neg_prompt_v1,0.378
