layer,wordlist,steering,neg_prompt_variant,last_word_fraction
0,rabbit,positive,neg_prompt_v1,0.282
0,rabbit,negative,neg_prompt_v1,0.286
0,habit,positive,neg_prompt_v1,0.234
0,habit,negative,neg_prompt_v1,0.248
1,rabbit,positive,neg_prompt_v1,0.306
1,rabbit,negative,neg_prompt_v1,0.302
1,habit,positive,neg_prompt_v1,0.222
1,habit,negative,neg_prompt_v1,0.268
2,rabbit,positive,neg_prompt_v1,0.28
2,rabbit,negative,neg_prompt_v1,0.298
2,habit,positive,neg_prompt_v1,0.216
2,habit,negative,neg_prompt_v1,0.236
3,rabbit,positive,neg_prompt_v1,0.24
3,rabbit,negative,neg_prompt_v1,0.274
3,habit,positive,neg_prompt_v1,0.234
3,habit,negative,neg_prompt_v1,0.22
4,rabbit,positive,neg_prompt_v1,0.338
4,rabbit,negative,neg_prompt_v1,0.28
4,habit,positive,neg_prompt_v1,0.226
4,habit,negative,neg_prompt_v1,0.252
5,rabbit,positive,neg_prompt_v1,0.33
5,rabbit,negative,neg_prompt_v1,0.238
5,habit,positive,neg_prompt_v1,0.18
5,habit,negative,neg_prompt_v1,0.302
6,rabbit,positive,neg_prompt_v1,0.334
6,rabbit,negative,neg_prompt_v1,0.206
6,habit,positive,neg_prompt_v1,0.172
6,habit,negative,neg_prompt_v1,0.304
7,rabbit,positive,neg_prompt_v1,0.34
7,rabbit,negative,neg_prompt_v1,0.212
7,habit,positive,neg_prompt_v1,0.158
7,habit,negative,neg_prompt_v1,0.282
8,rabbit,positive,neg_prompt_v1,0.296
8,rabbit,negative,neg_prompt_v1,0.226
8,habit,positive,neg_prompt_v1,0.124
8,habit,negative,neg_prompt_v1,0.306
9,rabbit,positive,neg_prompt_v1,0.37
9,rabbit,negative,neg_prompt_v1,0.162
9,habit,positive,neg_prompt_v1,0.17
9,habit,negative,neg_prompt_v1,0.334
10,rabbit,positive,neg_prompt_v1,0.304
10,rabbit,negative,neg_prompt_v1,0.214
10,habit,positive,neg_prompt_v1,0.12
10,habit,negative,neg_prompt_v1,0.302
